D,epoch,loss,loss_bc,loss_data,loss_ic,loss_pde,r,step
0.1173945888876915,1,5.326098442077637,0.01199663057923317,0.22669130563735962,0.08976180851459503,0.01148482970893383,0.9820454120635986,49
0.16197021305561066,3,4.249086856842041,0.001323723467066884,0.20507650077342987,0.07934791594743729,0.010428225621581078,0.9777711629867554,99
0.2712983191013336,4,3.0931172370910645,0.004363188054412603,0.10325615108013153,0.05493180826306343,0.025111377239227295,0.9621420502662659,149
0.3645866811275482,6,2.1597630977630615,0.0022384761832654476,0.05848464369773865,0.03939186409115791,0.01976148411631584,0.9324386119842529,199
0.37894970178604126,7,0.6250156164169312,0.0004223630530759692,0.05006789416074753,0.0107120955362916,0.018224792554974556,0.9058445692062378,249
0.23310351371765137,9,0.14923059940338135,3.9622627809876576e-05,0.058737944811582565,0.001347420969977975,0.021140482276678085,0.8872773051261902,299
0.11274885386228561,10,0.08215338736772537,2.7110771043226123e-05,0.046970024704933167,0.00040061172330752015,0.013797237537801266,0.870690643787384,349
0.0294746495783329,12,0.060978829860687256,1.071392762241885e-05,0.04093439131975174,0.00024004752049222589,0.007506367284804583,0.8549525141716003,399
-0.028895916417241096,14,0.05586261302232742,0.00019298752886243165,0.029804829508066177,0.000238062406424433,0.004505283199250698,0.8407973051071167,449
-0.0711059495806694,15,0.044745415449142456,2.2337695554597303e-05,0.03268348425626755,0.00016023658099584281,0.002933219540864229,0.8282548189163208,499
-0.10207249969244003,17,0.04932060092687607,4.749666550196707e-05,0.03770074248313904,0.00013400489115156233,0.0025447849184274673,0.81702721118927,549
-0.12316209822893143,18,0.05608941614627838,6.903230678290129e-05,0.04391302168369293,0.0001218961042468436,0.002629972295835614,0.8071138858795166,599
-0.1360609233379364,20,0.043984558433294296,0.00021699373610317707,0.02332444116473198,0.0001532170281279832,0.002149580279365182,0.7985138297080994,649
-0.14242464303970337,21,0.04793715104460716,4.341803287388757e-05,0.0395696684718132,7.978240319062024e-05,0.002207461977377534,0.7910831570625305,699
-0.14459824562072754,23,0.15439432859420776,0.0018452401272952557,0.030554618686437607,0.0005857228534296155,0.0022915529552847147,0.7845574021339417,749
-0.1441069096326828,24,0.05703123286366463,0.00010641178960213438,0.04557327181100845,8.486233855364844e-05,0.0018942559836432338,0.7784963250160217,799
-0.14182882010936737,26,0.03406674787402153,5.5036365665728226e-05,0.026275567710399628,6.313789344858378e-05,0.0018824676517397165,0.7729613780975342,849
-0.13815413415431976,28,0.02253629080951214,4.8705696826800704e-05,0.015451710671186447,5.676683213096112e-05,0.0018109523225575686,0.7674404382705688,899
