epoch,step,train/loss_epoch,train/loss_step,val/error_h,val/error_u,val/error_v,val/loss,val/loss_best
0,0,,,0.8845037221908569,0.9886550307273865,0.9830507636070251,1.4043554067611694,1.4043554067611694
0,0,2.557617664337158,,,,,,
1,1,,,0.7616974711418152,1.012773871421814,1.603763461112976,1.7527328729629517,1.4043554067611694
1,1,0.8054889440536499,,,,,,
2,2,,,0.8100826740264893,0.9792189002037048,1.9968137741088867,2.2087695598602295,1.4043554067611694
2,2,1.4245469570159912,,,,,,
3,3,,,0.7707017660140991,0.9656510353088379,1.778615117073059,1.8964604139328003,1.4043554067611694
3,3,2.381970167160034,,,,,,
4,4,,,0.7736092209815979,0.9406955242156982,1.4190930128097534,1.5283594131469727,1.4043554067611694
4,4,1.6300795078277588,,,,,,
5,5,,,0.8334047198295593,0.9045268893241882,1.1284180879592896,1.347868800163269,1.347868800163269
5,5,0.9872021079063416,,,,,,
6,6,,,0.8234687447547913,0.8744661808013916,0.9792380928993225,1.2129249572753906,1.2129249572753906
6,6,0.7229212522506714,,,,,,
7,7,,,0.7734317779541016,0.8722925186157227,0.9627772569656372,1.1374421119689941,1.1374421119689941
7,7,0.6503375768661499,,,,,,
8,8,,,0.7663474082946777,0.9013499021530151,1.0143451690673828,1.1852058172225952,1.1374421119689941
8,8,0.6954995393753052,,,,,,
9,9,,,0.7794276475906372,0.9259589910507202,1.0678399801254272,1.257458209991455,1.1374421119689941
9,9,0.8412572741508484,,,,,,
10,10,,,0.7760723233222961,0.9135836362838745,1.087563157081604,1.2548344135284424,1.1374421119689941
10,10,0.9688647389411926,,,,,,
11,11,,,0.7615340352058411,0.8838617205619812,1.0739431381225586,1.201478362083435,1.1374421119689941
11,11,0.9047202467918396,,,,,,
12,12,,,0.7538717985153198,0.8640788197517395,1.0446194410324097,1.1561905145645142,1.1374421119689941
12,12,0.7495501637458801,,,,,,
13,13,,,0.7560150623321533,0.8580672740936279,1.0163930654525757,1.1360201835632324,1.1360201835632324
13,13,0.6409343481063843,,,,,,
14,14,,,0.7600671052932739,0.8590676188468933,0.9996044635772705,1.1315419673919678,1.1315419673919678
14,14,0.587058424949646,,,,,,
15,15,,,0.7594178318977356,0.865334153175354,0.9976690411567688,1.1349554061889648,1.1315419673919678
15,15,0.5602460503578186,,,,,,
16,16,,,0.7555994391441345,0.8818351030349731,1.008195400238037,1.1510536670684814,1.1315419673919678
16,16,0.5446010231971741,,,,,,
17,17,,,0.7559703588485718,0.9145276546478271,1.0251250267028809,1.19112229347229,1.1315419673919678
17,17,0.5349013805389404,,,,,,
18,18,,,0.7659573554992676,0.9621685147285461,1.0411350727081299,1.2577482461929321,1.1315419673919678
18,18,0.5326055884361267,,,,,,
19,19,,,0.7817380428314209,1.009536862373352,1.0499368906021118,1.329293131828308,1.1315419673919678
19,19,0.543503999710083,,,,,,
20,20,,,0.7913171648979187,1.033200979232788,1.0494495630264282,1.365071415901184,1.1315419673919678
20,20,0.5611137747764587,,,,,,
21,21,,,0.7889623045921326,1.024613618850708,1.0441526174545288,1.3499512672424316,1.1315419673919678
21,21,0.5525707006454468,,,,,,
22,22,,,0.7811570763587952,0.9975753426551819,1.0412672758102417,1.3111417293548584,1.1315419673919678
22,22,0.5133224725723267,,,,,,
23,23,,,0.7755058407783508,0.9702027440071106,1.0446964502334595,1.2794899940490723,1.1315419673919678
23,23,0.48696789145469666,,,,,,
24,24,,,0.7738587260246277,0.9518008828163147,1.053381323814392,1.2653799057006836,1.1315419673919678
24,24,0.49179279804229736,,,,,,
25,25,,,0.7746382355690002,0.9435477256774902,1.063241958618164,1.2648866176605225,1.1315419673919678
25,25,0.5088382959365845,,,,,,
26,26,,,0.7761238813400269,0.9432960152626038,1.0698455572128296,1.270757794380188,1.1315419673919678
26,26,0.5164039134979248,,,,,,
27,27,,,0.7772732973098755,0.9480458498001099,1.0704554319381714,1.2770476341247559,1.1315419673919678
27,27,0.5066004395484924,,,,,,
28,28,,,0.7774149775505066,0.9543834924697876,1.0649574995040894,1.2796642780303955,1.1315419673919678
28,28,0.4845312535762787,,,,,,
29,29,,,0.776063084602356,0.958760678768158,1.055460810661316,1.2760518789291382,1.1315419673919678
29,29,0.461728036403656,,,,,,
