D,epoch,loss,loss_data,loss_pde,r,step
0.13992266356945038,1,0.13371644914150238,0.12427018582820892,0.009446268901228905,0.9598968625068665,49
0.2092643529176712,3,0.04763150215148926,0.039709120988845825,0.007922382093966007,0.925893247127533,99
0.14049267768859863,4,0.017254136502742767,0.014610374346375465,0.002643761457875371,0.8898699879646301,149
0.08275802433490753,6,0.009915625676512718,0.008994555100798607,0.0009210707503370941,0.8733235001564026,199
0.05014467611908913,7,0.005322377663105726,0.00454582367092371,0.0007765540503896773,0.8672037124633789,249
0.03259726241230965,9,0.005746726877987385,0.005168827250599861,0.0005778995109722018,0.8652567863464355,299
0.02401803247630596,10,0.0031660760287195444,0.0030223981011658907,0.00014367792755365372,0.8652364015579224,349
0.023644139990210533,12,0.0016846631187945604,0.0015674930764362216,0.00011717007146216929,0.8664799332618713,399
0.029358074069023132,14,0.0013108151033520699,0.0011292757699266076,0.00018153931887354702,0.8681654930114746,449
0.03600160405039787,15,0.0010271198116242886,0.0009354421636089683,9.167764073936269e-05,0.8708333373069763,499
0.04266612231731415,17,0.0014349283883348107,0.0013635775540024042,7.135083433240652e-05,0.8736510872840881,549
0.04827912151813507,18,0.0009910643566399813,0.0008294208673760295,0.00016164347471203655,0.8761974573135376,599
0.052278365939855576,20,0.0007765321061015129,0.000486035889480263,0.00029049624572508037,0.878285825252533,649
0.05534464865922928,21,0.0009184242226183414,0.0008360121864825487,8.241203613579273e-05,0.8811670541763306,699
0.058095041662454605,23,0.0006635284516960382,0.0005792253650724888,8.430310117546469e-05,0.8841654062271118,749
0.060420285910367966,24,0.0004688905901275575,0.0002845337730832398,0.0001843568024924025,0.8865021467208862,799
0.060438189655542374,26,0.0009294850751757622,0.0007255261298269033,0.0002039589307969436,0.8891582489013672,849
0.06183414161205292,28,0.00076019496191293,0.0006715664640069008,8.862851245794445e-05,0.891589343547821,899
0.0632694885134697,29,0.0007788052898831666,0.0005656579742208123,0.000213147301110439,0.8940771818161011,949
0.06444768607616425,31,0.0010078530758619308,0.0008509533363394439,0.00015689975407440215,0.8964559435844421,999
0.0630388930439949,32,0.0010781347518786788,0.0008249334059655666,0.0002532013750169426,0.8982369303703308,1049
0.06600795686244965,34,0.0006087860092520714,0.0005351679865270853,7.361801544902846e-05,0.9002190232276917,1099
0.06642487645149231,35,0.001866784761659801,0.001377840293571353,0.000488944468088448,0.9031020402908325,1149
0.06814055889844894,37,0.0006679409998469055,0.0004422056081239134,0.00022573539172299206,0.905230700969696,1199
0.06949451565742493,39,0.0009592761052772403,0.0007865570951253176,0.00017271898104809225,0.9081777334213257,1249
0.06889790296554565,40,0.0006137866294011474,0.0005583937745541334,5.5392836657119915e-05,0.9101832509040833,1299
0.06972794234752655,42,0.0007341894088312984,0.0005678876768797636,0.00016630174650344998,0.9124537110328674,1349
0.07032903283834457,43,0.0006567862583324313,0.0006204645615071058,3.632172229117714e-05,0.9153810143470764,1399
0.07112248986959457,45,0.0006584603688679636,0.0005709237302653491,8.753666043048725e-05,0.9166927337646484,1449
0.0721825659275055,46,0.0006375792436301708,0.0005652866675518453,7.229259790619835e-05,0.9185682535171509,1499
0.07133106142282486,48,0.0005517381941899657,0.00048168847570195794,7.004973303992301e-05,0.9198323488235474,1549
0.07384834438562393,49,0.0006117456359788775,0.0005430052406154573,6.87404244672507e-05,0.9201787710189819,1599
0.07422711700201035,51,0.0014160594437271357,0.00115141028072685,0.0002646491047926247,0.9228704571723938,1649
0.0757012739777565,53,0.0008970076451078057,0.0005793310701847076,0.0003176765749230981,0.9234681725502014,1699
0.07664021104574203,54,0.0007510752184316516,0.0005334453890100121,0.0002176298585254699,0.9243431091308594,1749
0.0759105384349823,56,0.0008322261273860931,0.000726490281522274,0.00010573587496764958,0.9261959791183472,1799
